ticker,empresa,trimestre,total_ativos,total_passivos,patrimonio_liquido,caixa,divida_lp,divida_cp,receita,lucro_bruto,lucro_liquido,ebitda,var_total_ativos_pct,var_patrimonio_liquido_pct,var_caixa_pct,var_receita_pct,var_lucro_liquido_pct,var_ebitda_pct,margem_liquida_calc,margem_ebitda_calc,alavancagem,trimestres_lucro_positivo,saude,saude_texto
AUAU3.SA,PETZCOBASI  ON  ED  NM,2026-03-31,5187905000.0,1885068000.0,3302837000.0,129664000.0,199892000.0,186490000.0,1692092000.0,792868000.0,39398000.0,207446000.0,,,,,,,2.328360396479624,12.25973528626103,0.570742062051503,1.0,1,Atenção
AURE3.SA,AUREN       ON      NM,2025-03-31,52266696000.0,37687948000.0,13251517000.0,6131027000.0,23564273000.0,2438563000.0,2952303000.0,836269000.0,8496000.0,1389704000.0,,,,,,,0.2877753401327709,47.07186220384561,2.844047817317821,1.0,1,Atenção
AURE3.SA,AUREN       ON      NM,2025-06-30,49202800000.0,35139197000.0,12683764000.0,4907414000.0,22351556000.0,2162500000.0,2885529000.0,495437000.0,-615390000.0,448447000.0,-5.862042628445463,-4.284437774180871,-19.957716708799357,-2.261759717752543,-7343.290960451978,-67.73075417498978,-21.326765386866672,15.54124044499293,2.770407664475624,1.0,0,Risco
AURE3.SA,AUREN       ON      NM,2025-09-30,48833477000.0,35269194000.0,12275532000.0,4479368000.0,22593796000.0,2246050000.0,3537391000.0,336691000.0,-397034000.0,669589000.0,-0.7506137862072881,-3.218539859303593,-8.722435074766466,22.59072773137958,-35.48253952777913,49.31285079396228,-11.223921811301041,18.9288942047967,2.873129571899613,1.0,0,Risco
AURE3.SA,AUREN       ON      NM,2025-12-31,48727388000.0,34951925000.0,12508762000.0,3826127000.0,22582913000.0,1949605000.0,3801729000.0,482339000.0,339896000.0,1935530000.0,-0.21724645984146917,1.8999583887688187,-14.583329612570338,7.472682550501197,-185.60878917170822,189.0623949915545,8.94056362249913,50.91183511502266,2.79419538080587,1.0,1,Atenção
AURE3.SA,AUREN       ON      NM,2026-03-31,47381486000.0,34258293000.0,11909561000.0,2959416000.0,21574755000.0,2130102000.0,3074535000.0,487454000.0,-621338000.0,289394000.0,-2.762105779197521,-4.790250226201442,-22.652436785292284,-19.12798097918079,-282.8023866123756,-85.04833301472982,-20.209169841943577,9.412610362217375,2.8765370108940203,1.0,0,Risco
AXIA3.SA,AXIA ENERGIAON      N1,2025-03-31,282016140000.0,160438458000.0,121494065000.0,22663836000.0,62162567000.0,11140391000.0,10414179000.0,4826340000.0,-353039000.0,3124989000.0,,,,,,,-3.3899839824147446,30.007060566176175,1.3205456414681656,0.0,0,Risco
AXIA3.SA,AXIA ENERGIAON      N1,2025-06-30,274960124000.0,156205302000.0,118706917000.0,22529651000.0,59345657000.0,13728434000.0,10198954000.0,4883420000.0,-1324449000.0,893616000.0,-2.5019901343235174,-2.294061030882455,-0.5920665857271468,-2.066653549934183,275.15656910426327,-71.40418734273945,-12.986125832119647,8.761839694541225,1.315890480080449,0.0,0,Risco
AXIA3.SA,AXIA ENERGIAON      N1,2025-09-30,266502447000.0,157162045000.0,109289887000.0,18501361000.0,59625045000.0,13427571000.0,10002503000.0,4082137000.0,-5449628000.0,-1956622000.0,-3.075964935191844,-7.933008655258056,-17.879948517622402,-1.9261877247411796,311.4637860725479,-318.95556928255536,-54.48264299445849,-19.561323800652698,1.4380291654981765,0.0,0,Risco
AXIA3.SA,AXIA ENERGIAON      N1,2025-12-31,279685593000.0,161183936000.0,118430137000.0,16417860000.0,61091597000.0,15757060000.0,10665957000.0,22474063000.0,13685591000.0,1550857000.0,4.946726061393347,8.363308125663993,-11.261339098242551,6.632879790188517,-351.1289027434533,-179.26196270919985,128.31095231304607,14.54025175612465,1.361004386915469,1.0,1,Atenção
AXIA3.SA,AXIA ENERGIAON      N1,2026-03-31,279912545000.0,158716162000.0,121147598000.0,12535253000.0,62382521000.0,13294230000.0,12711586000.0,7578359000.0,2629666000.0,6425414000.0,0.08114540243766566,2.2945688224611294,-23.64867893866801,19.179047881029334,-80.78514840900915,314.3137632934565,20.687158943030397,50.54769719529884,1.310105727395437,2.0,2,Saudável
AXIA6.SA,AXIA ENERGIAPNB     N1,2025-03-31,282016140000.0,160438458000.0,121494065000.0,22663836000.0,62162567000.0,11140391000.0,10414179000.0,4826340000.0,-353039000.0,3124989000.0,,,,,,,-3.3899839824147446,30.007060566176175,1.3205456414681656,0.0,0,Risco
AXIA6.SA,AXIA ENERGIAPNB     N1,2025-06-30,274960124000.0,156205302000.0,118706917000.0,22529651000.0,59345657000.0,13728434000.0,10198954000.0,4883420000.0,-1324449000.0,893616000.0,-2.5019901343235174,-2.294061030882455,-0.5920665857271468,-2.066653549934183,275.15656910426327,-71.40418734273945,-12.986125832119647,8.761839694541225,1.315890480080449,0.0,0,Risco
AXIA6.SA,AXIA ENERGIAPNB     N1,2025-09-30,266502447000.0,157162045000.0,109289887000.0,18501361000.0,59625045000.0,13427571000.0,10002503000.0,4082137000.0,-5449628000.0,-1956622000.0,-3.075964935191844,-7.933008655258056,-17.879948517622402,-1.9261877247411796,311.4637860725479,-318.95556928255536,-54.48264299445849,-19.561323800652698,1.4380291654981765,0.0,0,Risco
AXIA6.SA,AXIA ENERGIAPNB     N1,2025-12-31,279685593000.0,161183936000.0,118430137000.0,16417860000.0,61091597000.0,15757060000.0,10665957000.0,22474063000.0,13685591000.0,1550857000.0,4.946726061393347,8.363308125663993,-11.261339098242551,6.632879790188517,-351.1289027434533,-179.26196270919985,128.31095231304607,14.54025175612465,1.361004386915469,1.0,1,Atenção
AXIA6.SA,AXIA ENERGIAPNB     N1,2026-03-31,279912545000.0,158716162000.0,121147598000.0,12535253000.0,62382521000.0,13294230000.0,12711586000.0,7578359000.0,2629666000.0,6425414000.0,0.08114540243766566,2.2945688224611294,-23.64867893866801,19.179047881029334,-80.78514840900915,314.3137632934565,20.687158943030397,50.54769719529884,1.310105727395437,2.0,2,Saudável
AXIA7.SA,AXIA ENERGIAPNC     N1,2025-03-31,282016140000.0,160438458000.0,121494065000.0,22663836000.0,62162567000.0,11140391000.0,10414179000.0,4826340000.0,-353039000.0,3124989000.0,,,,,,,-3.3899839824147446,30.007060566176175,1.3205456414681656,0.0,0,Risco
AXIA7.SA,AXIA ENERGIAPNC     N1,2025-06-30,274960124000.0,156205302000.0,118706917000.0,22529651000.0,59345657000.0,13728434000.0,10198954000.0,4883420000.0,-1324449000.0,893616000.0,-2.5019901343235174,-2.294061030882455,-0.5920665857271468,-2.066653549934183,275.15656910426327,-71.40418734273945,-12.986125832119647,8.761839694541225,1.315890480080449,0.0,0,Risco
AXIA7.SA,AXIA ENERGIAPNC     N1,2025-09-30,266502447000.0,157162045000.0,109289887000.0,18501361000.0,59625045000.0,13427571000.0,10002503000.0,4082137000.0,-5449628000.0,-1956622000.0,-3.075964935191844,-7.933008655258056,-17.879948517622402,-1.9261877247411796,311.4637860725479,-318.95556928255536,-54.48264299445849,-19.561323800652698,1.4380291654981765,0.0,0,Risco
AXIA7.SA,AXIA ENERGIAPNC     N1,2025-12-31,279685593000.0,161183936000.0,118430137000.0,16417860000.0,61091597000.0,15757060000.0,10665957000.0,22474063000.0,13685591000.0,1550857000.0,4.946726061393347,8.363308125663993,-11.261339098242551,6.632879790188517,-351.1289027434533,-179.26196270919985,128.31095231304607,14.54025175612465,1.361004386915469,1.0,1,Atenção
AXIA7.SA,AXIA ENERGIAPNC     N1,2026-03-31,279912545000.0,158716162000.0,121147598000.0,12535253000.0,62382521000.0,13294230000.0,12711586000.0,7578359000.0,2629666000.0,6425414000.0,0.08114540243766566,2.2945688224611294,-23.64867893866801,19.179047881029334,-80.78514840900915,314.3137632934565,20.687158943030397,50.54769719529884,1.310105727395437,2.0,2,Saudável
AZEV3.SA,AZEVEDO     ON,2025-03-31,1312938000.0,594463000.0,718475000.0,10932000.0,4629000.0,109991000.0,52217000.0,15649000.0,-13532000.0,6927000.0,,,,,,,-25.914931918723788,13.26579466457284,0.8273955252444414,0.0,0,Risco
AZEV3.SA,AZEVEDO     ON,2025-06-30,2193027000.0,1413286000.0,779741000.0,14947000.0,495265000.0,261830000.0,78940000.0,-7761000.0,61267000.0,109281000.0,67.03203045383712,8.527227808900806,36.72703988291255,51.17681980964053,-552.7564292048478,1477.609354699004,77.61211046364326,138.43552064859387,1.8125069734693957,1.0,1,Atenção
AZEV3.SA,AZEVEDO     ON,2025-09-30,1046494000.0,887144000.0,159350000.0,1780000.0,3943000.0,34187000.0,116103000.0,23650000.0,-620391000.0,-255877000.0,-52.280842871519596,-79.56372692983953,-88.09125577038871,47.07752723587535,-1112.6022165276577,-334.1459174055874,-534.345365752823,-220.38793140573455,5.5672670222780045,1.0,0,Risco
AZEV3.SA,AZEVEDO     ON,2025-12-31,1174330000.0,1062626000.0,111704000.0,30070000.0,11312000.0,203124000.0,102167000.0,23679000.0,-47652000.0,-38039000.0,12.215645765766459,-29.900219642296832,1589.325842696629,-12.003135147239952,-92.31903751021532,-85.13387291550238,-46.64128338896121,-37.23217868783462,9.512873308028361,1.0,0,Risco
AZEV3.SA,AZEVEDO     ON,2026-03-31,1330929000.0,1218271000.0,112658000.0,39504000.0,2516000.0,215790000.0,148750000.0,27146000.0,954000.0,18365000.0,13.335178357020606,0.854042827472612,31.373461922181576,45.59495727583271,-102.00201460589273,-148.27939746050106,0.641344537815126,12.346218487394959,10.813888050560102,1.0,1,Atenção
AZEV4.SA,AZEVEDO     PN,2025-03-31,1312938000.0,594463000.0,718475000.0,10932000.0,4629000.0,109991000.0,52217000.0,15649000.0,-13532000.0,6927000.0,,,,,,,-25.914931918723788,13.26579466457284,0.8273955252444414,0.0,0,Risco
